,Annisha,Conard,Habib,Ivana,Jinna,Joyceann,Katrice,Khaleel,Krystol,Lenell,Liza,Luci,Madina,Martinez,Ranardo,Sandra,Shalia,Shaquala,Umair,Wanisha
34,62.226578109695915,,60.19459552993062,20.28566433424483,46.56190539710299,39.19900545411184,28.405873166653148,40.841001970404356,35.44535251349859,25.89168774712234,24.000715526818507,19.109556968901856,33.017125216173085,7.525092204679474,52.258833754203465,42.41700961776924,56.903163272067,35.22078064014479,39.930978314729636,
35,62.226578109695915,,60.19459552993062,12.757670444688856,46.56190539710299,39.19900545411184,28.405873166653148,40.841001970404356,35.44535251349859,25.89168774712234,24.000715526818507,19.109556968901856,33.017125216173085,7.525092204679474,52.258833754203465,42.41700961776924,56.903163272067,17.772545721292094,39.930978314729636,
36,61.28388132923692,,59.48666111437083,16.757670444688856,47.429005436755055,40.91676820138045,31.370605885862364,42.36905886627457,37.59678848716415,29.14689348552069,27.474392188549526,23.148327033296844,35.44910315339169,12.902257770700487,59.258833754203465,43.7629845971511,56.57550004015624,21.965785575689882,41.56417356544987,
37,61.28388132923692,,59.48666111437083,16.757670444688856,47.429005436755055,40.91676820138045,31.370605885862364,16.20675143984083,37.59678848716415,29.14689348552069,27.474392188549526,23.148327033296844,35.44910315339169,12.902257770700487,59.258833754203465,32.54375710445739,56.57550004015624,21.965785575689882,41.56417356544987,
38,60.759897097690875,,59.18276768069687,20.757670444688856,48.601714055852355,42.886977025077144,34.509854798948055,20.20675143984083,39.97356795711603,32.55846219135127,31.0907783907824,27.294490902056303,38.088892005709866,18.303173583826133,58.98284046602173,35.53933982372364,56.628112591813505,26.2567655837119,43.45509997180779,
39,60.759897097690875,,45.344343099977074,20.757670444688856,48.601714055852355,42.886977025077144,34.509854798948055,20.20675143984083,39.97356795711603,17.005072082220025,31.0907783907824,27.294490902056303,38.088892005709866,18.303173583826133,58.98284046602173,35.53933982372364,56.628112591813505,26.2567655837119,43.45509997180779,
40,60.15319041775746,,45.344343099977074,24.919824310039765,24.120187957702473,44.41098831998704,17.80827841685232,24.4345830467999,39.97356795711603,21.614591501201513,34.021072059406194,30.677358518140192,40.18490641785282,22.75793999146946,58.5879853745265,37.93929878661088,18.638945210119708,29.76334549637426,26.680593529466908,
41,60.15319041775746,,45.344343099977074,24.919824310039765,24.120187957702473,44.41098831998704,17.80827841685232,24.4345830467999,39.97356795711603,21.614591501201513,34.021072059406194,19.227761144245676,40.18490641785282,22.75793999146946,30.02693178897114,12.161050396928234,18.638945210119708,29.76334549637426,26.680593529466908,
42,59.024005666649956,,45.78846650250614,27.533870952153435,26.819188841431284,44.9542723562969,21.177863481276464,28.4345830467999,40.988288391425314,24.579789695912304,35.668192175432154,22.446538809482654,41.1771740226934,25.601667590691914,37.02693178897114,16.13060314948728,21.92027932490825,31.862811144353287,29.10757412179621,
43,59.024005666649956,,45.78846650250614,16.43696075993798,26.819188841431284,44.9542723562969,21.177863481276464,28.4345830467999,40.988288391425314,24.579789695912304,35.668192175432154,22.446538809482654,41.1771740226934,13.674957886386455,37.02693178897114,16.13060314948728,21.92027932490825,31.862811144353287,29.10757412179621,
